,en,zh-CN,am,ar,bg,bn,ca,cs,da,de,el,es-419,es,et,fa,fi,fil,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,ml,mr,ms,nl,no,pl,pt-BR,pt-PT,ro,ru,sk,sl,sr,sv,sw,ta,te,th,tr,uk,vi,zh-TW
openInPip,Open in Copilot window,在 Copilot 窗口中打开,በCopilot የምጥ ገጽ ክፍል ክፈት,افتح في نافذة كوبيلوت,Отвори в Copilot прозорец,Copilot উইন্ডোতে খুলুন,Obri en finestra del Copilot,Otevřít v okně Copilot,Åbn i Copilot-vindue,In Copilot-Fenster öffnen,Ανοίξτε στο παράθυρο του Copilot,Abrir en ventana de Copilot,Abrir en ventana de Copilot,Avage Copiloti aken,باز کردن در پنجره Copilot,Avaa Copilot-ikkunassa,Buksan sa bintana ng Copilot,Ouvrir dans la fenêtre Copilot,કોપિલોટ વિંડોમાં ખોલો,פתח בחלון Copilot,कोपाइलट विंडो में खोलें,Otvori u CoPilot prozoru,Megnyitás a Copilot ablakban,Buka dalam jendela Copilot,Apri nella finestra di Copilot,コパイロットウィンドウで開く,ಕೊಪಿಲೋಟ್ ವಿಂಡೋದಲ್ಲಿ ತೆರೆಯಿರಿ,Copilot 창에서 열기,Atidaryti „Copilot“ langą,Atvērt Copilot logā,കോപിലോറ്റ് ജിപ്പി ജോളം തുറക്കുക,कोपायलटच्या विंडोमध्ये उघडा,Buka dalam tetingkap Copilot,Open in Copilot-venster,Åpne i Copilot-vindu,Otwórz w oknie Copilot,Abrir na janela do Copilot,Abrir em janela do Copilot,Deschide în fereastra Copilot,Открыть в окне Copilot,Otvoriť v okne Copilot,Odpri v oknu Copilot,Отвори у прозору Копилота,Öppna i Copilot-fönster,Fungua kwenye dirisha la Copilot,கிளிக் மேல் இங்கே திற,కొపీలోట్ విండోలో తెరలంచండి,เปิดในหน้าต่าง Copilot,Copilot penceresinde aç,Відкрити у вікні Copilot,Mở trong cửa sổ Copilot,在 Copilot 窗口中打開
other,Other,其他,ሌሎች,آخر,Друго,অন্যান্য,Altres,Další,Andet,Andere,Άλλο,Otro,Otro,Muu,سایر,Muu,Iba pa,Autre,અન્ય,אחר,अन्य,Ostalo,Egyéb,Lainnya,Altro,その他,ಇತರೆ,기타,Kitas,Cits,മറ്റ്,इतर,Lain-lain,Andere,Annet,Inne,Outro,Outro,Altele,Другое,Iné,Drugo,Остало,Annan,Nyingine,பிற,ఇతర,อื่น ๆ,Diğer,Інше,Khác,其他
clickHere,Click Here,点击这里,እዚህ ጠቅ ያድርጉ,انقر هنا,Цъкни тук,এখানে ক্লিক করুন,Clica aquí,Klikněte zde,Klik her,Hier klicken,Κάντε κλικ εδώ,Haz clic aquí,Haz clic aquí,Klõpsake siin,اینجا کلیک کنید,Klikkaa tästä,I-click Dito,Cliquez ici,અહીં ક્લિક કરો,לחץ כאן,यहां क्लिक करें,Kliknite ovdje,Kattintson ide,Klik Disini,Clicca qui,ここをクリック,ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ,여기를 클릭하세요,Spustelėkite čia,Noklikšķiniet šeit,ഇവിടെ ക്ലിക്ക് ചെയ്യുക,येथे क्लिक करा,Klik di sini,Klik hier,Klikk her,Kliknij tutaj,Clique aqui,Clique aqui,Click aici,Нажмите здесь,Kliknite sem,Klikni tukaj,Кликни овде,Klicka här,Bonyeza Hapa,இங்கே திட்டமிடு,ఇక్కడ రాండండి,คลิกที่นี่,Buraya tıklayın,Натисніть тут,Nhấp vào đây,點擊這裡
minimize,Minimize,最小化,ምንጭ,تصغير,Минимизиране,সর্বনিম্ন,Minimitza,Minimalizovat,Minimer,Minimieren,Ελαχιστοποίηση,Minimizar,Minimizar,Vähenda,کمینه کردن,Pienennä,Ibawas,Minimiser,ઘટાડો,מזער,कम करें,Smanji,Kis méret,Miminimalkan,Minimizza,最小化,ಕುಗ್ಗಿಸಿ,최소화,Mažinti,Minimizēt,ഇടത്തരിക്കുക,कमी करा,Kurangkan,Minimaliseren,Minimer,Zminimalizuj,Minimizar,Minimizar,Minimizează,Минимизировать,Minimalizovať,Minimaliziraj,Minimiziraj,Minimera,Kupunguza,சுருக்கப்படுதல்,తక్కువ చేయడం,ย่อ,Küçült,Мінімізувати,Thu nhỏ,最小化
moveAside,Move aside,移到旁边,ቀስት ለማግኘት,تحريك جانباً,Премести настрана,পাশে সরান,Aparta,Přesunout stranou,Flyt til side,Beiseite bewegen,Μετακίνηση στην πλευρά,Mover a un lado,Mover a un lado,Liiguta kõrvale,جابجا شدن,Siirrä sivuun,Ilipat sa tabi,Déplacer de côté,અપર ચાલો,הזז בצד,दूर हटें,Pomakni na stranu,Elmozdít,Pindah ke samping,Sposta da parte,一旦寄せる,ಬೆಳಕು ನೀಡಿ,옆으로 이동,Nustumti šalin,Pagriezt malā,വലത്തരിക്കുക,पाठवा,Bersisih,Opzij zetten,Flytt til side,Przesuń na bok,Mover para o lado,Mover para o lado,Mută în lateral,Убрать в сторону,Presunúť bokom,Premakni na stran,Pomeri na stranu,Flytta åt sidan,Hama kando,பக்கத்திற்கு நீக்கு,చేరుకుందండి,เลื่อนข้างหลัง,Kenara Taşı,Відкрити сторонній,Di chuyển sang một bên,移到旁邊
close,Close,关闭,ዝጋ,إغلاق,Затвори,বন্ধ করুন,Tanca,Zavřít,Luk,Schließen,Κλείσιμο,Cerrar,Cerrar,Sulge,بستن,Sulje,Isara,Fermer,બંધ,סגור,बंद करें,Zatvori,Bezárás,Tutup,Chiudi,閉じる,ಮುಚ್ಚಿ,닫기,Uždaryti,Aizvērt,അടുത്തവെക്കുക,बंद करा,Tutup,Sluiten,Lukk,Zamknij,Fechar,Fechar,Închide,Закрыть,Zatvoriť,Zapri,Zatvori,Stäng,Funga,மூடு,మూసివేయి,ปิด,Kapat,Закрити,Đóng,關閉
refresh,Refresh,刷新,አስተካክል,تحديث,Обнови,পুনরায় লোড করুন,Refresca,Obnovit,Opdater,Aktualisieren,Ανανέωση,Actualizar,Refrescar,Värskenda,تازه‌سازی,Päivitä,I-refresh,Actualiser,રિફ્રેશ,רענן,ताज़ा करें,Osvježi,Frissítés,Segarkan,Aggiorna,更新,ರಿಫ್ರೆಶ್,새로고침,Atnaujinti,Atsvaidzināt,പുതുക്കുക,ताज्या करा,Muat semula,Vernieuwen,Oppdater,Odśwież,Atualizar,Atualizar,Reîmprospătează,Обновить,Obnoviť,Osveži,Osveži,Uppdatera,Sasisha,புதுப்பிக்க,తాజాకరించండి,รีเฟรช,Yenile,Оновити,Làm mới,刷新
protectedTabTips,This page is protected by browser,当前页面受浏览器保护,ይህ ገጽ በመሳሪያ መሳሪያ የተጠበቀ ነው,هذه الصفحة محمية بواسطة المتصفح,Тази страница е защитена от браузъра,এই পৃষ্ঠাটি ব্রাউজার দ্বারা সুরক্ষিত,Aquesta pàgina està protegida pel navegador,Tato stránka je chráněna prohlížečem,Denne side er beskyttet af browseren,Diese Seite ist durch den Browser geschützt,Αυτή η σελίδα προστατεύεται από τον περιηγητή,Esta página está protegida por el navegador,Esta página está protegida por el navegador,See lehekülg on kaitstud brauseri poolt,این صفحه توسط مرورگر محافظت می‌شود,Tämä sivu on suojattu selaimen toimesta,Protektado ng browser ang pahinang ito,Cette page est protégée par le navigateur,આ પાનું બ્રાઉઝર દ્વારા સુરક્ષિત છે,דף זה מוגן על ידי הדפדפן,यह पृष्ठ ब्राउज़र द्वारा सुरक्षित है,Ova stranica je zaštićena preglednikom,Ezt az oldalt a böngésző védi,Halaman ini dilindungi oleh browser,Questa pagina è protetta dal browser,このページはブラウザによって保護されています,ಈ ಪುಟವನ್ನು ಬ್ರೌಸರ್‌ ರಕ್ಷಿಸಿದೆ,이 페이지는 브라우저에 의해 보호됩니다,Šis puslapis apsaugotas naršyklės,Šī lapa ir aizsargāta ar pārlūkprogrammu,ഈ പേജ് ബ്രൗസർ സംരക്ഷിക്കുന്നു,हे पृष्ठ ब्राउझरने संरक्षित केले आहे,Halaman ini dilindungi oleh pelayar,Deze pagina is beschermd door de browser,Denne siden er beskyttet av nettleseren,Ta strona jest chroniona przez przeglądarkę,Esta página está protegida pelo navegador,Esta página está protegida pelo navegador,Această pagină este protejată de browser,Эта страница защищена браузером,Táto stránka je chránená prehliadačom,Ta stran je zaščitena z brskalnikom,Ова страница је заштићена прегледачем,Denna sida skyddas av webbläsaren,Ukurasa huu umelindwa na kivinjari,இந்த பக்கம் உலாவியால் பாதுகாக்கப்படுகிறது,ఈ పేజీని బ్రౌజర్ రక్షించింది,หน้านี้ได้รับการป้องกันโดยเบราว์เซอร์,Bu sayfa tarayıcı tarafından korunmaktadır,Ця сторінка захищена браузером,Trang này được bảo vệ bởi trình duyệt,此頁面受到瀏覽器保護
prompt,Prompt,Prompt,መረጃ,المطالبة,Подкана,প্রম্পট,Sol·licitud,Výzva,Prompt,Aufforderung,Προτροπή,Indicación,Indicación,Käsk,درخواست,Kehote,Prompt,Invite,પ્રોમ્પ્ટ,הפניה,प्रॉम्प्ट,Poziv,Felszólítás,Prompt,Prompt,プロンプト,ಪ್ರಾಂಪ್ಟ್,프롬프트,Raginimas,Uzaicinājums,പ്രോംപ്റ്റ്,प्रॉम्प्ट,Arahan,Prompt,Kommando,Monit,Prompt,Prompt,Prompt,Приглашение,Prompt,Prompt,Prompt,Prompt,Prompt,Prompt,Prompt,Prompt,Prompt,Запит,Prompt,Prompt
message,Message,消息,መልእክት,رسالة,Съобщение,বার্তা,Missatge,Zpráva,Besked,Nachricht,Μήνυμα,Mensaje,Mensaje,Sõnum,پیام,Viesti,Mensahe,Message,સંદેશ,הודעה,संदेश,Poruka,Üzenet,Pesan,Messaggio,メッセージ,ಸಂದೇಶ,메시지,Žinutė,Ziņojums,സന്ദേശം,संदेश,Mesej,Bericht,Melding,Wiadomość,Mensagem,Mensagem,Mesaj,Сообщение,Správa,Sporočilo,Poruka,Meddelande,Ujumbe,செய்தி,సందేశం,ข้อความ,Mesaj,Повідомлення,Thông điệp,訊息
